parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,125129,Samsung Galaxy S26 Ultra 12GB 256GB-Đen Classic,SAM-S26-ULTRA-5G-S948-12GB-256GB-DN,Đen Classic,36990000,30890000,30890000,16.49,165,/s/a/samsung-galaxy-s26-ultra-11_2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-11_2.jpg
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,125130,Samsung Galaxy S26 Ultra 12GB 256GB-Tím Cobalt,SAM-S26-ULTRA-5G-S948-12GB-256GB-TI,Tím Cobalt,36990000,30890000,30890000,16.49,365,/s/a/samsung-galaxy-s26-ultra_2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra_2.jpg
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,125134,Samsung Galaxy S26 Ultra 12GB 256GB-Xanh Sky Blue,SAM-S26-ULTRA-5G-S948-12GB-256GB-XD,Xanh Sky Blue,36990000,30890000,30890000,16.49,123,/s/a/samsung-galaxy-s26-ultra-22_2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-22_2.jpg
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,125136,Samsung Galaxy S26 Ultra 12GB 256GB-Trắng Classic,SAM-S26-ULTRA-5G-S948-12GB-256GB-TR,Trắng Classic,36990000,30890000,30890000,16.49,141,/s/a/samsung-galaxy-s26-ultra-33_2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-33_2.jpg
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,131810,Samsung Galaxy S26 Ultra 12GB 256GB-Vàng Hồng,SAM-S26-ULTRA-5G-S948-12GB-256GB-VH,Vàng Hồng,36990000,30890000,30890000,16.49,0,/s/2/s26-ultra-vang-hong.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/2/s26-ultra-vang-hong.png
125121,Samsung Galaxy S26 Ultra 5G 12GB 256GB,131811,Samsung Galaxy S26 Ultra 12GB 256GB-Bạc,SAM-S26-ULTRA-5G-S948-12GB-256GB-BA,Bạc,36990000,30890000,30890000,16.49,11,/s/2/s26-ultra-bac_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/2/s26-ultra-bac_1.png
112586,iPhone 17 Pro 256GB | Chính hãng,112596,iPhone 17 Pro 256GB | Chính hãng-Bạc,APP-IP17-PRO-VN-256GB-MG8G4-BA-CH,Bạc,34990000,33990000,33990000,2.86,158,/i/p/iphone-17-pro-3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-3.jpg
112586,iPhone 17 Pro 256GB | Chính hãng,112597,iPhone 17 Pro 256GB | Chính hãng-Cam Vũ Trụ,APP-IP17-PRO-VN-256GB-MG8H4-CA-CH,Cam Vũ Trụ,34990000,33890000,33890000,3.14,75,/i/p/iphone-17-pro-cam.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-cam.jpg
112586,iPhone 17 Pro 256GB | Chính hãng,112599,iPhone 17 Pro 256GB | Chính hãng-Xanh Đậm,APP-IP17-PRO-VN-256GB-MG8J4-XD-CH,Xanh Đậm,34990000,33990000,33990000,2.86,2,/i/p/iphone-17-pro-2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-2.jpg
99770,Samsung Galaxy Z Fold7 12GB 256GB,108373,Samsung Galaxy Z Fold 7 12GB 256BG-Xanh,SAM-Z-FOLD7-F966-5G-12GB-256GB-XD,Xanh bóng,46990000,40990000,40990000,12.77,27,/s/a/samsung-galaxy-z-fold-7_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-7_1.jpg
99770,Samsung Galaxy Z Fold7 12GB 256GB,108374,Samsung Galaxy Z Fold 7 12GB 256BG-Đen,SAM-Z-FOLD7-F966-5G-12GB-256GB-DN,Đen tuyền,46990000,40990000,40990000,12.77,13,/s/a/samsung-galaxy-z-fold-7-1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-7-1.jpg
112588,iPhone 17 Pro Max 256GB | Chính hãng,112613,iPhone 17 Pro Max 256GB | Chính hãng-Bạc,APP-IP17-PRO-MAX-VN-256GB-MFYM4-BA-CH,Bạc,37990000,35990000,35990000,5.26,569,/i/p/iphone-17-pro-max-2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max-2.jpg
112588,iPhone 17 Pro Max 256GB | Chính hãng,112615,iPhone 17 Pro Max 256GB | Chính hãng-Cam Vũ Trụ,APP-IP17-PRO-MAX-VN-256GB-MFYN4-CA-CH,Cam Vũ Trụ,37990000,35990000,35990000,5.26,317,/i/p/iphone-17-pro-max.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max.jpg
