product_id,name,brand,sku,url,category,price,special_price,final_price,stock,is_parent,review_count,average_rating,cpu,chipset,ram,storage,display_size,display_resolution,battery,os,gpu,camera_primary,camera_secondary,camera_video,bluetooth,dimensions,weight,color,included_accessories,thumbnail,image_url,description,discount_percent
116688,Laptop MSI Cyborg 15 A13UC-2082VN,MSI,laptop-msi-cyborg-15-a13uc-2082vn,https://cellphones.com.vn/laptop-msi-cyborg-15-a13uc-2082vn.html,"Laptop, MSI, Laptop Gaming, Laptop đồ họa, Laptop 15.6 inch, Laptop Core i7 , MSI Gaming, MSI Cyborg, MSI Cyborg 15",30690000,26490000,26490000,65,True,0,0,"Intel Core i7-13620H Gen 13th (10 lõi / 16 luồng, 24MB Cache)",,16GB,512GB,15.6 inches,1920 x 1080 pixels (FullHD),3 Cells 53.5 Whrs,Windows 11 Home,RTX 3050,,,,Bluetooth v5.3,359.36 x 250.34 x 21.95 mm (Dài x Rộng x Dày),1.98 kg,Đen,"Bộ nguồn, máy, balo, sách hdsd",/t/e/text_d_i_7_126.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_126.png,"Laptop MSI Cyborg 15 A13UC-2082VN; CPU: Intel Core i7-13620H Gen 13th (10 lõi / 16 luồng, 24MB Cache); RAM: 16GB; Luu tru: 512GB; Man hinh: 15.6 inches; Do phan giai: 1920 x 1080 pixels (FullHD); Pin: 3 Cells 53.5 Whrs; HDH: Windows 11 Home; Bluetooth: Bluetooth v5.3; Kich thuoc: 359.36 x 250.34 x 21.95 mm (Dài x Rộng x Dày); Gia: 30,690,000 VND",13.69
122978,Laptop ASUS VivoBook 14 X1407CA-LY008W,ASUS,laptop-asus-vivobook-14-x1407ca-ly008w,https://cellphones.com.vn/laptop-asus-vivobook-14-x1407ca-ly008w.html,"Laptop, ASUS, Laptop Sinh viên, Laptop mỏng nhẹ, Laptop Văn phòng, Laptop 14 inch, Laptop AI, Vivobook, Laptop Asus AI",25990000,21390000,21390000,413,True,1,5,"Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 14 luồng)",,16GB,512GB,14 inches,1920 x 1200 pixels (WUXGA),"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,,,,,Bluetooth 5.2,31.52 x 22.34 x 1.79 ~ 1.99 cm (Dài x Rộng x Dày),1.46 kg,Bạc,"Bộ nguồn, máy, sách hdsd",/t/e/text_ng_n_4__10_30.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__10_30.png,"Laptop ASUS VivoBook 14 X1407CA-LY008W; CPU: Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 14 luồng); RAM: 16GB; Luu tru: 512GB; Man hinh: 14 inches; Do phan giai: 1920 x 1200 pixels (WUXGA); Pin: 42WHrs, 3S1P, 3-cell Li-ion; HDH: Windows 11 Home; Bluetooth: Bluetooth 5.2; Kich thuoc: 31.52 x 22.34 x 1.79 ~ 1.99 cm (Dài x Rộng x Dày); Gia: 25,990,000 VND",17.7
110161,Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA,HP,laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa,https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html,"Laptop, HP, Laptop Sinh viên, Laptop Văn phòng, Laptop 16 inch, HP Omnibook, HP Omnibook 5",27190000,25990000,25990000,99,True,0,0,Intel Core Ultra 5 225U (12 lõi) - Max Turbo Frequency: 4. 80 GHz,,16GB,512GB,16 inches,1920 x 1200 pixels (WUXGA),3 Cell Int (59.16Wh) ,Windows 11 Home Single Language 64-bit + Office Home 2024,,,,,Bluetooth 5.3,35.77 x 25.48 x 1.79 cm (Dài x Rộng x Dày),1.725 kg,Bạc,"Bộ nguồn, máy, sách hdsd",/g/r/group_744_1_42.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_744_1_42.png,"Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA; CPU: Intel Core Ultra 5 225U (12 lõi) - Max Turbo Frequency: 4. 80 GHz; RAM: 16GB; Luu tru: 512GB; Man hinh: 16 inches; Do phan giai: 1920 x 1200 pixels (WUXGA); Pin: 3 Cell Int (59.16Wh) ; HDH: Windows 11 Home Single Language 64-bit + Office Home 2024; Bluetooth: Bluetooth 5.3; Kich thuoc: 35.77 x 25.48 x 1.79 cm (Dài x Rộng x Dày); Gia: 27,190,000 VND",4.41
100680,Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU,Acer,laptop-acer-aspire-lite-16-gen-2-al16-52p-76du,https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-76du.html,"Laptop, Acer, Laptop Sinh viên, Laptop Văn phòng, Laptop 16 inch, Laptop Core i7 , Aspire, Acer Aspire Lite 16",19990000,19290000,19290000,48,True,0,0,"Intel Core i7 Raptor Lake - 1355U (10 lõi / 12 luồng, 1.7GHz, Turbo Boost 5.0 GHz)",,16GB,512GB,16 inches,1920 x 1200 pixels (FullHD+),"3-cell Li-ion, 58 Wh",Windows 11 Home SL,,,,,Bluetooth 5.1,357.6 x 247 x 18.9 mm (Dài x Rộng x Dày),1.7 kg,Bạc,"Bộ nguồn, máy, sách hdsd",/g/r/group_659_1__12.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_659_1__12.png,"Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU; CPU: Intel Core i7 Raptor Lake - 1355U (10 lõi / 12 luồng, 1.7GHz, Turbo Boost 5.0 GHz); RAM: 16GB; Luu tru: 512GB; Man hinh: 16 inches; Do phan giai: 1920 x 1200 pixels (FullHD+); Pin: 3-cell Li-ion, 58 Wh; HDH: Windows 11 Home SL; Bluetooth: Bluetooth 5.1; Kich thuoc: 357.6 x 247 x 18.9 mm (Dài x Rộng x Dày); Gia: 19,990,000 VND",3.5
104367,Laptop Acer Gaming Aspire 7 A715-59G-57TU,Acer,laptop-acer-gaming-aspire-7-a715-59g-57tu,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,"Laptop, Acer, Laptop Gaming, Laptop đồ họa, Laptop 15.6 inch, Laptop core i5, Aspire, Acer Aspire 7",23990000,22490000,22490000,274,True,4,5,"Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache)",,16GB,512GB,15.6 inches,1920 x 1080 pixels (FullHD),"Pin Li-ion 3 cell 54,8Wh <br> Bộ đổi nguồn AC 150W",Windows 11 Home Single Language,RTX 3050,,,,,359.5 x 238 x 22.7 mm (Dài x Rộng x Dày),1.99 kg,Đen,"Máy, sạc, sách hướng dẫn</p><p style=""color: red;""><a href=""https://www.acervietnam.com.vn/bao-hanh-3s1""><span style=""color: #ff0000;"">T&igrave;m hiểu th&ecirc;m về bảo h&agrave;nh VIP 3S1</span></a></p>",/t/e/text_d_i_1__4_8.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__4_8.png,"Laptop Acer Gaming Aspire 7 A715-59G-57TU; CPU: Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache); RAM: 16GB; Luu tru: 512GB; Man hinh: 15.6 inches; Do phan giai: 1920 x 1080 pixels (FullHD); Pin: Pin Li-ion 3 cell 54,8Wh <br> Bộ đổi nguồn AC 150W; HDH: Windows 11 Home Single Language; Kich thuoc: 359.5 x 238 x 22.7 mm (Dài x Rộng x Dày); Gia: 23,990,000 VND",6.25
130373,Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN,Lenovo,laptop-lenovo-loq-essential-15arp10e-83s0000dvn,https://cellphones.com.vn/laptop-lenovo-loq-essential-15arp10e-83s0000dvn.html,"Laptop, Lenovo, Laptop Gaming, Laptop đồ họa, Laptop 15.6 inch, Gaming, Lenovo LOQ",31990000,24690000,24690000,182,True,0,0,"AMD Ryzen 5 7535HS (6 lõi / 12 luồng, 3.3 / 4.55GHz, 3MB L2 / 16MB L3)",,16GB,512GB,15.6 inches,1920 x 1080 pixels (FullHD),"57.5Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English",RTX 3050,,,,Bluetooth 5.2,359.2 x 236 x 19.9-22.95 mm (Dài x Rộng x Dày),1.8 kg,Xám,"Bộ nguồn, máy, sách hdsd",/t/e/text_d_i_9_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_9_2.png,"Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN; CPU: AMD Ryzen 5 7535HS (6 lõi / 12 luồng, 3.3 / 4.55GHz, 3MB L2 / 16MB L3); RAM: 16GB; Luu tru: 512GB; Man hinh: 15.6 inches; Do phan giai: 1920 x 1080 pixels (FullHD); Pin: 57.5Wh, 135W Slim Tip (3-pin); HDH: Windows 11 Home Single Language, English; Bluetooth: Bluetooth 5.2; Kich thuoc: 359.2 x 236 x 19.9-22.95 mm (Dài x Rộng x Dày); Gia: 31,990,000 VND",22.82
127761,Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN,Lenovo,laptop-lenovo-ideapad-slim-5-14imh10-83v6001hvn,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh10-83v6001hvn.html,"Laptop, Lenovo, Laptop Sinh viên, Laptop mỏng nhẹ, Laptop Văn phòng, Laptop 14 inch, Laptop AI, Ideapad, Laptop Lenovo AI, Lenovo Ideapad Slim 5",30990000,29490000,29490000,49,True,0,0,"Intel Core Ultra 5 135H, 14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.6GHz, 18MB Intel Smart Cache",,32GB,512GB,14 inches,1920 x 1200 pixels (WUXGA),"60Wh, 65W USB-C Slim (2-pin, Wall-mount)","Windows 11 Home Single Language, English",,,,,Bluetooth 5.4,313.4 x 222 x 16.9 mm (Dài x Rộng x Dày),1.39 kg,Xám,"Bộ nguồn, máy, sách hdsd",/g/r/group_894_1__2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_894_1__2.png,"Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN; CPU: Intel Core Ultra 5 135H, 14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.6GHz, 18MB Intel Smart Cache; RAM: 32GB; Luu tru: 512GB; Man hinh: 14 inches; Do phan giai: 1920 x 1200 pixels (WUXGA); Pin: 60Wh, 65W USB-C Slim (2-pin, Wall-mount); HDH: Windows 11 Home Single Language, English; Bluetooth: Bluetooth 5.4; Kich thuoc: 313.4 x 222 x 16.9 mm (Dài x Rộng x Dày); Gia: 30,990,000 VND",4.84
125874,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,Apple,macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-256gb,https://cellphones.com.vn/macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-256gb.html,"Laptop, Mac, Laptop Sinh viên, Laptop mỏng nhẹ, Laptop Văn phòng, Laptop 13 inch , Laptop AI, Macbook Neo",19490000,18790000,18790000,45,True,1,5,Chip Apple A18 Pro <br>CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,8GB,256GB,13 inches,2408 x 1506 pixels,Thời gian xem video trực tuyến lên đến 16 giờ<br> Thời gian duyệt web trên mạng không dây lên đến 11 giờ<br> Pin lithium-ion 36.5 watt‑giờ tích hợp,macOS,,,,,Bluetooth 6,1.27 x 29.75 x 20.64 cm (Cao x Rộng x Dài),1.23 kg,"Bạc, Vàng Citrus, Xanh Indigo, Hồng Phớt","MacBook Neo<br> Bộ Tiếp Hợp Nguồn USB-C 20W<br> Cáp Sạc USB-C (1,5 m)",/m/a/macbook_13_19.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_13_19.png,"MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam; CPU: Chip Apple A18 Pro <br>CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện; RAM: 8GB; Luu tru: 256GB; Man hinh: 13 inches; Do phan giai: 2408 x 1506 pixels; Pin: Thời gian xem video trực tuyến lên đến 16 giờ<br> Thời gian duyệt web trên mạng không dây lên đến 11 giờ<br> Pin lithium-ion 36.5 watt‑giờ tích hợp; HDH: macOS; Bluetooth: Bluetooth 6; Kich thuoc: 1.27 x 29.75 x 20.64 cm (Cao x Rộng x Dài); Gia: 19,490,000 VND",3.59
106535,Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,ASUS,laptop-asus-tuf-gaming-f16-fx607vj-rl034w,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,"Laptop, ASUS, Laptop Gaming, Laptop đồ họa, Laptop 16 inch, Gaming, Asus TUF Gaming, Asus Tuf Gaming F16",24490000,22990000,22990000,0,True,1,5,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",,16GB,512GB,16 inches,1920 x 1200 pixels (WUXGA),"56WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,RTX 3050,,,,Bluetooth 5.3,35.4 x 25.1 x 2.21 ~ 2.67 cm (Dài x Rộng x Dày),2.20 Kg,Xám,"Bộ nguồn, máy, sách hdsd",/t/e/text_d_i_7_36.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_36.png,"Laptop ASUS TUF Gaming F16 FX607VJ-RL034W; CPU: Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng); RAM: 16GB; Luu tru: 512GB; Man hinh: 16 inches; Do phan giai: 1920 x 1200 pixels (WUXGA); Pin: 56WHrs, 4S1P, 4-cell Li-ion; HDH: Windows 11 Home; Bluetooth: Bluetooth 5.3; Kich thuoc: 35.4 x 25.1 x 2.21 ~ 2.67 cm (Dài x Rộng x Dày); Gia: 24,490,000 VND",6.12
120537,Laptop Dell 14 DC14250 DC4C5386W,Dell,laptop-dell-14-dc14250-dc4c5386w,https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5386w.html,"Laptop, Dell, Laptop Sinh viên, Laptop Văn phòng, Laptop 14 inch, Inspiron, Dell 14",30990000,26990000,26990000,69,True,1,5,"Intel Core 5 120U (Up to 5Ghz, 12Mb Cache)",,16GB,512GB,14 inches,1920 x 1200 pixels (FullHD+),"Li-ion  4-Cell Battery, 54WHr","Windows 11 Home, Single Language English + Office Home & Student 2024, 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)",,,,,Bluetooth 5.2,314 x 226.15 x 18.07 mm (Dài x Rộng x Dày),1.67 kg,Bạc,"Bộ nguồn, máy, sách hdsd",/g/r/group_945_33.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_33.png,"Laptop Dell 14 DC14250 DC4C5386W; CPU: Intel Core 5 120U (Up to 5Ghz, 12Mb Cache); RAM: 16GB; Luu tru: 512GB; Man hinh: 14 inches; Do phan giai: 1920 x 1200 pixels (FullHD+); Pin: Li-ion  4-Cell Battery, 54WHr; HDH: Windows 11 Home, Single Language English + Office Home & Student 2024, 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn); Bluetooth: Bluetooth 5.2; Kich thuoc: 314 x 226.15 x 18.07 mm (Dài x Rộng x Dày); Gia: 30,990,000 VND",12.91
