parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
116688,Laptop MSI Cyborg 15 A13UC-2082VN,116690,Laptop MSI Cyborg 15 A13UC-2082VN-Đen,LAP-MSI-15-A13UC-2082VN-I7-13620H-DN,Đen,30690000,26490000,26490000,13.69,65,/t/e/text_ng_n_3__9_27.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__9_27.png
122978,Laptop ASUS VivoBook 14 X1407CA-LY008W,122980,Laptop ASUS VivoBook 14 X1407CA-LY008W-Bạc,LAP-ASU-X1407CA-LY008W-U5-225H-BA,Bạc,25990000,21390000,21390000,17.7,412,/s/s/ssss_2_26.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_26.png
110161,Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA,110162,Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA-Bạc,LAP-HP-BOOK5-AI-16-AF1048TU-BZ7Q9PA-U5-225U-BA,Bạc,27190000,25990000,25990000,4.41,99,/t/e/text_ng_n_2__10_21.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_21.png
100680,Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU,100681,Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU-Bạc,LAP-ACER-AL16-52P-76DU-NXJ2SSV005-I7-1355U-BA,Bạc,19990000,19290000,19290000,3.5,48,/t/e/text_ng_n_6__2_235.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_6__2_235.png
104367,Laptop Acer Gaming Aspire 7 A715-59G-57TU,104369,Laptop Acer Gaming Aspire 7 A715-59G-57TU-Đen,LAP-ACER-A715-59G-57TU-NHQX6SV001-I5-12450H-DN,Đen,23990000,22490000,22490000,6.25,274,/t/e/text_ng_n_14__9_27.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__9_27.png
130373,Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN,130375,Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN-Xám,LAP-LEN-15ARP10E-83S0000DVN-R5-7535HS-XA,Xám,31990000,24690000,24690000,22.82,182,/s/s/sssxs_13__3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_13__3.png
127761,Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN,127762,Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN-Xám,LAP-LEN-SLIM5-14IMH10-83V6001HVN-U5-135H-XA,Xám,30990000,29490000,29490000,4.84,48,/s/s/ssss_6__127.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_6__127.png
125874,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,125875,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam-Bạc,APP-MAC-NEO-13-A18-MHFA4-8GB-256GB-2026-BA-CH,Bạc,19490000,18990000,18990000,2.57,0,/b/_/b_c_3_15.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/_/b_c_3_15.png
125874,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,125876,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam-Vàng Citrus,APP-MAC-NEO-13-A18-MHFD4-8GB-256GB-2026-VA-CH,Vàng Citrus,19490000,18990000,18990000,2.57,4,/v/a/va.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/v/a/va.png
125874,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,125877,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam-Xanh Indigo,APP-MAC-NEO-13-A18-MHFF4-8GB-256GB-2026-XD-CH,Xanh Indigo,19490000,18790000,18790000,3.59,45,/x/a/xa_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/a/xa_1.png
125874,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,125878,MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam-Hồng Phớt,APP-MAC-NEO-13-A18-MHFH4-8GB-256GB-2026-HO-CH,Hồng Phớt,19490000,18990000,18990000,2.57,176,/h/o/ho_1_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/o/ho_1_1.png
106535,Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,106536,Laptop ASUS TUF Gaming F16 FX607VJ-RL034W-Xám,LAP-ASU-F16-FX607VJ-RL034W-CORE5-210H-XA,Xám,24490000,22990000,22990000,6.12,0,/t/e/text_ng_n_7__4_147.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_7__4_147.png
120537,Laptop Dell 14 DC14250 DC4C5386W,120541,Laptop Dell 14 DC14250 DC4C5386W-Bạc,LAP-DELL-14-DC14250-DC4C5386W-CORE5-120U-BA,Bạc,30990000,26990000,26990000,12.91,69,/s/s/ssss_1_126.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_126.png
107708,Laptop ASUS Gaming V16 V3607VU-RP343W,107709,Laptop ASUS Gaming V16 V3607VU-RP343W-Đen,LAP-ASU-V16-V3607VU-RP343W-CORE5-210H-DN,Đen,26990000,25990000,25990000,3.71,3,/t/e/text_ng_n_4__7_230.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__7_230.png
118482,Laptop Lenovo LOQ 15ARP10E 83S0007AVN,118484,Laptop Lenovo LOQ 15ARP10E 83S0007AVN-Xám,LAP-LEN-15ARP10E-83S0007AVN-R7-7735HS-XA,Xám,30490000,27990000,27990000,8.2,45,/s/s/ssss_13__9.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_13__9.png
125698,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,125700,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam-Bạc,APP-MAC-AIR-13-M5-MDH74-16GB-512GB-2026-BA-CH,Bạc,35990000,35490000,35490000,1.39,86,/b/_/b_c_3_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/_/b_c_3_1.png
125698,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,125701,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam-Ánh sao,APP-MAC-AIR-13-M5-MDHA4-16GB-512GB-2026-TR-CH,Ánh sao,35990000,35290000,35290000,1.94,11,/v/_/v_ng_2_9.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/v/_/v_ng_2_9.png
125698,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,125702,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam-Đêm xanh thẳm,APP-MAC-AIR-13-M5-MDHE4-16GB-512GB-2026-DE-CH,Đêm xanh thẳm,35990000,35490000,35490000,1.39,112,/_/e/_en_5_8.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/_/e/_en_5_8.png
125698,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,125703,MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam-Xanh da trời,APP-MAC-AIR-13-M5-MDHH4-16GB-512GB-2026-XD-CH,Xanh da trời,35990000,0,35990000,0.0,123,/x/a/xanh_5_10.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/a/xanh_5_10.png
