name,url,category,brand,price,old_price,discount,image_url,scraped_at
DJI Pocket 4 Standard Combo,https://cellphones.com.vn/dji-osmo-pocket-4.html,camera,Unknown,11635000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/j/dji-osmo-pocket-4-standard.jpg,2026-07-14T22:20:40.850728
DJI Pocket 3 Creator Combo,https://cellphones.com.vn/may-quay-chong-rung-dji-osmo-pocket-3-advanced-4k.html,camera,Unknown,11494000,17995000,"Giảm 
36%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-quay-chong-rung-dji-osmo-pocket-3-standard_1.jpg,2026-07-14T22:20:41.090121
Máy quay 4K chống rung DJI Osmo Pocket 4P Standard Combo,https://cellphones.com.vn/dji-osmo-pocket-4-pro-standard-combo.html,camera,Unknown,16090000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/j/dji-osmo-pocket-4-pro-standard-combo.png,2026-07-14T22:20:41.208799
Camera hành trình Insta 360 X5 Essentials Bundle chính hãng,https://cellphones.com.vn/camera-hanh-trinh-insta-360-x5-essentials-bundle.html,camera,Unknown,16800000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-trinh-insta-360-x5-essentials-bundle.png,2026-07-14T22:20:41.295346
Camera hành trình Insta360 Luna Ultra Standard Bundle,https://cellphones.com.vn/insta360-luna-ultra-standard-combo.html,camera,Unknown,19990000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/n/insta360-luna-ultra-standard-combo_15_.png,2026-07-14T22:20:41.524705
DJI Pocket 3 Standard Combo,https://cellphones.com.vn/may-quay-chong-rung-dji-osmo-pocket-3-standard-4k.html,camera,Unknown,9206000,13990000,"Giảm 
34%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-quay-chong-rung-dji-osmo-pocket-3-standard.jpg,2026-07-14T22:20:41.610908
Máy quay 4K chống rung DJI Osmo Pocket 4P Vlog Combo,https://cellphones.com.vn/dji-osmo-pocket-4-pro-advanced-combo.html,camera,Unknown,18290000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/j/dji-osmo-pocket-4-pro-advanced-combo.png,2026-07-14T22:20:41.693396
DJI Pocket 4 Creator Combo,https://cellphones.com.vn/dji-osmo-pocket-4-creator-combo.html,camera,Unknown,14740000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/j/dji-osmo-pocket-4-standard_1.jpg,2026-07-14T22:20:41.776652
DJI Action 4 Combo,https://cellphones.com.vn/combo-camera-hanh-dong-dji-action-4.html,camera,Unknown,8150000,11690000,"Giảm 
30%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/o/combo-camera-hanh-dong-dji-action-4_7_.png,2026-07-14T22:20:41.859165
Camera DJI Osmo Action 4,https://cellphones.com.vn/camera-hanh-dong-dji-action-4.html,camera,Unknown,5670000,9190000,"Giảm 
38%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-dong-dji-action-4_12_.png,2026-07-14T22:20:41.950711
Camera Insta360 One X3,https://cellphones.com.vn/camera-hanh-trinh-insta360-one-x3.html,camera,Unknown,7790000,11560000,"Giảm 
33%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-trinh-insta360-one-x3.png,2026-07-14T22:20:42.026838
Camera hành trình Insta 360 Ace Pro 2 (Dual Battery) chính hãng,https://cellphones.com.vn/camera-hanh-trinh-insta-360-ace-pro-2.html,camera,Unknown,11190000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-trinh-insta-360-ace-pro-2_6_.png,2026-07-14T22:20:42.107335
Camera hành động Akaso 4K Brave 7,https://cellphones.com.vn/camera-hanh-dong-akaso-brave-7.html,camera,Unknown,4790000,5990000,"Giảm 
20%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-dong-akaso-brave-7.png,2026-07-14T22:20:42.200004
Camera IP WiFi Ezviz C6N Pro 2K 3MP quay quét 360 độ,https://cellphones.com.vn/camera-ip-hong-ngoai-khong-day-ezviz-c6n-3mp.html,camera,Unknown,440000,610000,"Giảm 
28%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera_ip_wifi_ezviz_c6n_pro_2k_3mp_quay_qu_t_360_.jpg,2026-07-14T22:20:42.396230
Camera hành động DJI Action 5 Pro Combo Advanced,https://cellphones.com.vn/camera-hanh-dong-dji-action-5-pro-combo-advanced.html,camera,Unknown,10870000,11690000,"Giảm 
7%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/a/camera-hanh-dong-dji-action-5-pro-combo-advanced_1.png,2026-07-14T22:20:42.508177
Camera hành động DJI Osmo Nano 4K 128GB (Hàng chính hãng),https://cellphones.com.vn/dji-osmo-nano-128gb.html,camera,Unknown,8460000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/j/dji-osmo-nano-128gb.png,2026-07-14T22:20:42.574328
