name,url,category,brand,price,old_price,discount,image_url,scraped_at
Laptop ASUS VivoBook 14 X1407CA-LY008W,https://cellphones.com.vn/laptop-asus-vivobook-14-x1407ca-ly008w.html,laptop,Vivo,21390000,25990000,Giảm 18%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__10_30.png,2026-07-14T22:18:11.686530
Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA,https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa.html,laptop,HP,25990000,27190000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_744_1_42.png,2026-07-14T22:18:12.207443
Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU,https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-76du.html,laptop,Acer,19290000,19990000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_659_1__12.png,2026-07-14T22:18:12.345738
Laptop Acer Gaming Aspire 7 A715-59G-57TU,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html,laptop,Acer,22490000,23990000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__4_8.png,2026-07-14T22:18:12.555886
Laptop Lenovo LOQ Essential 15ARP10E 83S0000DVN,https://cellphones.com.vn/laptop-lenovo-loq-essential-15arp10e-83s0000dvn.html,laptop,Lenovo,24690000,31990000,"Giảm 
23%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_9_2.png,2026-07-14T22:18:12.631191
Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh10-83v6001hvn.html,laptop,Lenovo,29490000,30990000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_894_1__2.png,2026-07-14T22:18:12.723084
MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-256gb.html,laptop,Apple,18790000,19490000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_13_19.png,2026-07-14T22:18:12.821311
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html,laptop,ASUS,22990000,24490000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_36.png,2026-07-14T22:18:12.925781
Laptop Dell 14 DC14250 DC4C5386W,https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5386w.html,laptop,Dell,26990000,30990000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_33.png,2026-07-14T22:18:13.022048
Laptop ASUS Gaming V16 V3607VU-RP343W,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html,laptop,ASUS,25990000,26990000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_57.png,2026-07-14T22:18:13.123460
