name,url,category,brand,price,old_price,discount,image_url,scraped_at
Màn hình Xiaomi A27QI 2026 27 inch,https://cellphones.com.vn/man-hinh-xiaomi-a27qi-2026-27-inch.html,man_hinh,Xiaomi,3790000,4490000,Giảm 16%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_6_60.png,2026-07-14T22:23:11.818214
Màn hình LG 24U411A-B 24 inch,https://cellphones.com.vn/man-hinh-lg-24u411a-b-24-inch.html,man_hinh,LG,2290000,2999000,"Giảm 
24%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_6_41.png,2026-07-14T22:23:12.601403
Màn hình gaming Lenovo Legion R27S 68CCGAC1VN 27 inch,https://cellphones.com.vn/man-hinh-lenovo-legion-r27s-68ccgac1vn-27-inch.html,man_hinh,Lenovo,2790000,3190000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_7.png,2026-07-14T22:23:12.685975
Màn hình Gaming LG UltraGear 27G411A-B 27 inch,https://cellphones.com.vn/man-hinh-lg-ultragear-27g411a-b-27-inch.html,man_hinh,LG,2790000,3990000,"Giảm 
30%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_895_1_.png,2026-07-14T22:23:12.766397
Màn hình di động MSI Pro MP165 E6 16 inch,https://cellphones.com.vn/man-hinh-di-dong-msi-pro-mp165-e6-16-inch.html,man_hinh,MSI,2590000,3090000,"Giảm 
16%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_3_.png,2026-07-14T22:23:12.837725
Màn hình Gaming ASUS TUF VG27AQ5A 27 inch,https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg27aq5a-27-inch.html,man_hinh,ASUS,4990000,5290000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_180_1_13.png,2026-07-14T22:23:12.915565
Màn hình di động VSP GP1612WS1 16 inch,https://cellphones.com.vn/man-hinh-di-dong-vsp-gp1612ws1-16-inch.html,man_hinh,Unknown,3790000,4490000,"Giảm 
16%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_2.png,2026-07-14T22:23:12.999785
Màn hình di động VSP GP1614WS1 16 inch,https://cellphones.com.vn/man-hinh-di-dong-vsp-gp1614ws1-16-inch.html,man_hinh,Unknown,2990000,3490000,"Giảm 
14%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_3.png,2026-07-14T22:23:13.098339
Màn hình E-Dra EGM24F120PV 24 inch,https://cellphones.com.vn/man-hinh-e-dra-egm24f120pv-24-inch.html,man_hinh,Unknown,1790000,2590000,"Giảm 
31%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_635_24.png,2026-07-14T22:23:13.262853
Giá treo màn hình HyperWork Core Arm SA01 22 - 32 inch,https://cellphones.com.vn/gia-treo-man-hinh-hyperwork-core-arm-sa01-22-32-inch.html,man_hinh,Unknown,519000,549000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_696_2.png,2026-07-14T22:23:13.351801
