name,url,category,brand,price,old_price,discount,image_url,scraped_at
Máy in Laser Brother HL-L2321D,https://cellphones.com.vn/may-in-laser-brother-hl-l2321d.html,may_in,Unknown,3290000,3390000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-laser-brother-hl-l2321d.png,2026-07-14T22:24:15.353743
Máy in HP LaserJet M211d  (9YF82A),https://cellphones.com.vn/may-in-hp-laserjet-m211d-9yf82a.html,may_in,HP,2990000,3590000,Giảm 17%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-hp-laserjet-m211d-9yf82a_2_.png,2026-07-14T22:24:17.719029
Máy in Laser Brother HL-B2180DW,https://cellphones.com.vn/may-in-laser-brother-hl-b2180dw.html,may_in,Unknown,4490000,4590000,"Giảm 
2%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_266.png,2026-07-14T22:24:18.084008
Máy in HP Laser 108W (4ZB80A),https://cellphones.com.vn/may-in-hp-laser-108w-4zb80a.html,may_in,HP,3290000,3490000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_969.png,2026-07-14T22:24:18.194295
Máy in phun màu HP Smart Tank 580 đa chức năng (1F3Y2A),https://cellphones.com.vn/may-in-phun-mau-hp-smart-tank-580-da-chuc-nang.html,may_in,HP,3490000,3690000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-phun-mau-hp-smart-tank-580-da-chuc-nang.png,2026-07-14T22:24:18.303730
"Máy in phun màu Canon E410 đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-canon-e410-da-chuc-nang.html,may_in,Unknown,1390000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_10.png,2026-07-14T22:24:18.480009
Máy in Laser Brother DCP-B7640DW,https://cellphones.com.vn/may-in-laser-brother-dcp-b7640dw.html,may_in,Unknown,6090000,6290000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-laser-brother-dcp-b7640dw-thumbnails.png,2026-07-14T22:24:18.553437
Máy in Laser Brother HL-L2366DW,https://cellphones.com.vn/may-in-laser-brother-hl-l2366dw.html,may_in,Unknown,4290000,4390000,"Giảm 
2%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_1_.png,2026-07-14T22:24:18.625591
Máy in laser Canon LBP6030W,https://cellphones.com.vn/may-in-laser-canon-lbp6030w.html,may_in,Unknown,3790000,4015000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_3.png,2026-07-14T22:24:18.824478
Máy in phun màu Canon TS207,https://cellphones.com.vn/may-in-phun-mau-canon-ts207.html,may_in,Unknown,1090000,1390000,"Giảm 
22%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_6.png,2026-07-14T22:24:18.907802
"Máy in Laser Brother DCP-B7620DW đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-laser-brother-dcp-b7620dw.html,may_in,Unknown,5490000,5990000,"Giảm 
8%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_294_1_2.png,2026-07-14T22:24:19.006288
Máy in phun màu Canon G1010,https://cellphones.com.vn/may-in-phun-mau-canon-g1010.html,may_in,Unknown,2390000,2990000,"Giảm 
20%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_288_1_7.png,2026-07-14T22:24:19.085924
"Máy in phun màu Brother DCP-T530DW đa chức năng (In, Scan, Copy)",https://cellphones.com.vn/may-in-phun-mau-brother-dcp-t530dw.html,may_in,Unknown,4690000,4990000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_302_1__1.png,2026-07-14T22:24:19.165429
Máy in HP Laser 108A 4ZB79A,https://cellphones.com.vn/may-in-hp-laser-108a-4zb79a.html,may_in,HP,2790000,3190000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_266_3_3.png,2026-07-14T22:24:19.344298
Máy in phun màu HP Smart Tank 210,https://cellphones.com.vn/may-in-phun-mau-hp-smart-tank-210.html,may_in,HP,2990000,3190000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-phun-mau-hp-smart-tank-210-thumbnail_1.png,2026-07-14T22:24:19.473453
Máy in HP LaserJet MFP M236dw đa chức năng (9YF95A),https://cellphones.com.vn/may-in-hp-laserjet-mfp-m236dw-9yf95a.html,may_in,HP,5290000,5490000,"Giảm 
4%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-hp-laserjet-mfp-m236dw-9yf95a_1_.png,2026-07-14T22:24:19.596527
Máy in nhiệt di động khổ A4 HPRT MT810 không dùng mực,https://cellphones.com.vn/may-in-nhiet-hprt-mt810.html,may_in,HP,2390000,2690000,"Giảm 
11%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-anh-khong-day-hprt-cp4100_10_.png,2026-07-14T22:24:19.708266
Máy in HP Laser MFP 136W Đa Chức Năng 4ZB86A,https://cellphones.com.vn/may-in-hp-laser-mfp-136w-da-chuc-nang-4zb86a.html,may_in,HP,3990000,4590000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_266_3_4.png,2026-07-14T22:24:19.796323
"Máy in Laser Brother MFC-L2701D (Copy, Fax, Scan)",https://cellphones.com.vn/may-in-laser-brother-mfc-l2701d.html,may_in,Unknown,5890000,6090000,"Giảm 
3%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-in-laser-brother-mfc-l2701d-thumbnails.png,2026-07-14T22:24:19.858931
