name,url,category,brand,price,old_price,discount,image_url,scraped_at
Microphone không dây DJI Mini (TX+TX+RX) 2 Mic,https://cellphones.com.vn/microphone-khong-day-dji-mini-2-mic-tx-tx-rx.html,mic_thu_am,Unknown,2300000,3690000,Giảm 38%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-dji-mini-2-mic-tx-tx-rx.1.png,2026-07-14T22:19:30.252605
Microphone không dây DJI Mic Mini 2 (1 TX + 1 MOBILE RX + CHARGING CASE),https://cellphones.com.vn/microphone-dien-thoai-dji-mic-mini-2-1-tx-1-rx.html,mic_thu_am,Unknown,1745000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-dien-thoai-dji-mic-mini-2-1-tx-1-rx0202.jpg,2026-07-14T22:19:30.398562
Microphone DJI Mini 2 (TX+TX+RX) 2 Mic,https://cellphones.com.vn/microphone-dji-mini-2-tx-tx-rx-2-mic.html,mic_thu_am,Unknown,2925000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-dien-thoai-dji-mic-mini-2-2-tx-1-rx-7_2.jpg,2026-07-14T22:19:30.715871
Microphone thu âm không dây Gochek Ultra S24 - S2402,https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2402.html,mic_thu_am,Unknown,1130500,1190000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s24-s2402.png,2026-07-14T22:19:31.076480
Microphone thu âm không dây Gochek Ultra S24 - S2403,https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2403.html,mic_thu_am,Unknown,1368000,1440000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s24-s2403_2_.png,2026-07-14T22:19:31.197364
Microphone thu âm Podcast/phòng thu/livestream Boya K3,https://cellphones.com.vn/microphone-thu-am-boya-k3.html,mic_thu_am,Unknown,730000,890000,"Giảm 
18%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-boya-k3.png,2026-07-14T22:19:31.308938
Microphone thu âm không dây Gochek Ultra S23 - S23D1 (Type-C),https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s23-s23d1-type-c.html,mic_thu_am,Unknown,779000,820000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s23-s23d1-type-c_7_.png,2026-07-14T22:19:31.597158
Microphone thu âm không dây Gochek Ultra S24 - S2401,https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2401.html,mic_thu_am,Unknown,845500,890000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s24-s2401.png,2026-07-14T22:19:31.704798
Microphone Saramonic Air SE-(1RX x 2TX),https://cellphones.com.vn/microphone-saramonic-air-se-2tx-1rx.html,mic_thu_am,Unknown,1890000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-saramonic-air-se-2tx-1rx_2_.png,2026-07-14T22:19:31.779008
Microphone không dây DJI 3 (TX+RX) 1 Mic,https://cellphones.com.vn/microphone-khong-day-dji-3-tx-rx-1-mic.html,mic_thu_am,Unknown,4010000,5550000,"Giảm 
28%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2025-08-28t161346.945.png,2026-07-14T22:19:31.937275
Microphone thu âm không dây Boya BY-V20 V2.0,https://cellphones.com.vn/microphone-khong-day-boya-by-v20.html,mic_thu_am,Unknown,890000,990000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-boya-by-v20.1.png,2026-07-14T22:19:32.052569
Microphone thu âm không dây Gochek Ultra S23 - S23D2 (Lightning),https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s23-s23d2-lightning.html,mic_thu_am,Unknown,779000,820000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s23-s23d2-lightning.png,2026-07-14T22:19:32.163356
Microphone thu âm không dây Boya BY-V10 V2.0,https://cellphones.com.vn/microphone-khong-day-boya-by-v10.html,mic_thu_am,Unknown,650000,750000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-boya-by-v10.1.png,2026-07-14T22:19:32.268801
Microphone không dây DJI II (TX+TX+RX) 2 Mic,https://cellphones.com.vn/microphone-khong-day-dji-ii-tx-tx-rx-2-mic.html,mic_thu_am,Unknown,5805000,8490000,"Giảm 
32%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-dji-ii-tx-tx-rx-2-mic_9__1.png,2026-07-14T22:19:32.354452
Microphone thu âm Podcast/phòng thu/Livestream Shure MV6,https://cellphones.com.vn/microphone-thu-am-shure-mv6.html,mic_thu_am,Unknown,4941000,5490000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-shure-mv6.png,2026-07-14T22:19:32.437768
