name,url,category,brand,price,old_price,discount,image_url,scraped_at
PC CPS Văn Phòng S09,https://cellphones.com.vn/pc-cps-van-phong-s09.html,pc,Unknown,12990000,25690000,Giảm 49%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-pc-cps-van-phong-s09.jpg,2026-07-14T22:22:07.641104
PC CPS Gaming G02 i3 12100F / 8GB - 256GB / RTX 3050,https://cellphones.com.vn/pc-cps-gaming-g2.html,pc,Unknown,13690000,21690000,"Giảm 
37%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-gaming-g2-10.jpg,2026-07-14T22:22:07.908657
PC CPS Gaming G13 i7 12700F / 16GB - 256GB / RTX 5060,https://cellphones.com.vn/pc-cps-gaming-g13.html,pc,Unknown,25990000,38990000,"Giảm 
33%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-gaming-g13-02.jpg,2026-07-14T22:22:08.077382
PC CPS Gaming G01 i3 12100F / 8GB - 256GB / RX 6500 XT,https://cellphones.com.vn/pc-cps-gaming-g1.html,pc,Unknown,11990000,20490000,"Giảm 
41%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-gaming-g1-20.jpg,2026-07-14T22:22:08.162374
PC CPS văn phòng S01 R3 3200G / 8GB - 256GB,https://cellphones.com.vn/pc-cps-van-phong-s1-amd.html,pc,Unknown,6790000,10990000,"Giảm 
38%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/0/s04_3.png,2026-07-14T22:22:08.247697
PC CPS Đồ Hoạ D01 i5 12400F / 8GB - 256GB / RX 6500,https://cellphones.com.vn/pc-cps-do-hoa-d1.html,pc,Unknown,13990000,22690000,"Giảm 
38%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-do-hoa-d1-11.jpg,2026-07-14T22:22:08.337168
PC CPS văn phòng Intel i5 Gen 12 - Kèm màn hình,https://cellphones.com.vn/may-tinh-pc-cps-van-phong-intel-i5-gen-12.html,pc,Unknown,12490000,18990000,"Giảm 
34%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-pc-cps-van-phong-intel-i5-gen-12-326.jpg,2026-07-14T22:22:08.415007
PC CPS X MSI Gaming Intel i5 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-msi-gaming-intel-i5-gen-12.html,pc,MSI,23990000,35690000,"Giảm 
33%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-msi-gaming-intel-i5-gen-12-06.jpg,2026-07-14T22:22:08.506206
PC CPS Creator AI A147 i7-14700K / RTX 5070,https://cellphones.com.vn/pc-cps-creator-ai-a147.html,pc,Unknown,53990000,75390000,"Giảm 
28%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_769_2_.png,2026-07-14T22:22:08.575690
PC CPS Văn Phòng AMD R3 3200G Kèm Màn Hình,https://cellphones.com.vn/pc-cps-van-phong-amd-r3-3200g.html,pc,Unknown,7990000,13790000,"Giảm 
42%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-van-phong-amd-r3-3200g-3.jpg,2026-07-14T22:22:08.649458
PC CPS Creator AI H780 AMD Ryzen 7 7800X3D / RTX 5080,https://cellphones.com.vn/pc-cps-creator-ai-h780.html,pc,Unknown,80990000,103990000,"Giảm 
22%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-creator-ai-h780-326.jpg,2026-07-14T22:22:08.741266
PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-msi-gaming-intel-i3-gen-12.html,pc,MSI,15990000,25090000,"Giảm 
36%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-msi-gaming-intel-i3-gen-12.jpg,2026-07-14T22:22:08.840427
PC CPS Quantum Blaze 5070 Ti,https://cellphones.com.vn/pc-cps-quantum-blaze-5070-ti.html,pc,Unknown,67990000,98790000,"Giảm 
31%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-quantum-blaze-5070-ti.jpg,2026-07-14T22:22:08.994744
PC CPS văn phòng Intel i3 Gen 14 - Kèm màn hình,https://cellphones.com.vn/may-tinh-pc-cps-van-phong-intel-i3-gen-14.html,pc,Unknown,10690000,17190000,"Giảm 
38%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-pc-cps-van-phong-intel-i3-gen-14.jpg,2026-07-14T22:22:09.110874
PC CPS văn phòng AMD R5 3400G kèm màn hình,https://cellphones.com.vn/pc-van-phong-cps-amd-r5-3400g.html,pc,Unknown,8190000,14090000,"Giảm 
42%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-van-phong-cps-amd-r5-3400g-326-03.jpg,2026-07-14T22:22:09.203123
PC CPS Gaming Intel i5 Gen 12 kèm màn hình - Trắng Hồng,https://cellphones.com.vn/pc-cps-gaming-intel-i5-gen-12.html,pc,Unknown,18990000,29290000,"Giảm 
35%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_461.jpg,2026-07-14T22:22:09.278529
PC CPS Creator Ultra AI H950 AMD Ryzen 9 9950X3D/ RTX 5090,https://cellphones.com.vn/pc-cps-creator-ultra-ai-h950.html,pc,Unknown,174900000,223190000,"Giảm 
22%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-creator-ultra-ai-h950-326.jpg,2026-07-14T22:22:09.356409
PC CPS Đồ Hoạ D02 i5 12400F / 16GB - 512GB / RTX 5060,https://cellphones.com.vn/pc-cps-do-hoa-d2.html,pc,Unknown,22990000,34490000,"Giảm 
33%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-do-hoa-d2-326.jpg,2026-07-14T22:22:09.429596
PC CPS Gaming G06 i5 12400F / 16GB - 256GB / RX 7600,https://cellphones.com.vn/pc-cps-gaming-g6.html,pc,Unknown,19990000,29790000,"Giảm 
33%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-gaming-g6-3261.jpg,2026-07-14T22:22:09.643374
PC CPS x Gigabyte Gaming Ultra U5505,https://cellphones.com.vn/pc-gaming-cps-gigabyte-ultra-u5505.html,pc,Gigabyte,25990000,36290000,"Giảm 
28%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-gaming-cps-gigabyte-ultra-u5505_1_.png,2026-07-14T22:22:18.493233
PC Mini Pc Asus NUC 14 Pro Revel Canyon U7,https://cellphones.com.vn/may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u7.html,pc,ASUS,19490000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_473_1_.png,2026-07-14T22:22:20.519260
PC CPS Quantum Blaze 5070,https://cellphones.com.vn/pc-cps-quantum-blaze-5070.html,pc,Unknown,55990000,77790000,"Giảm 
28%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-quantum-blaze-5070-0004.jpg,2026-07-14T22:22:20.589473
PC CPS Gaming G04 i5 12400F / 8GB - 256GB / RX 6500,https://cellphones.com.vn/pc-cps-gaming-g4.html,pc,Unknown,13990000,22690000,"Giảm 
38%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-gaming-g4-30.jpg,2026-07-14T22:22:20.662051
PC CPS Quantum Blaze 5090,https://cellphones.com.vn/pc-cps-quantum-blaze-5090.html,pc,Unknown,179000000,226890000,"Giảm 
21%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-quantum-blaze-5090.jpg,2026-07-14T22:22:20.727488
PC Mini Asus NUC 14 Pro Revel Canyon U5,https://cellphones.com.vn/may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u5.html,pc,ASUS,15990000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_473.png,2026-07-14T22:22:20.793564
PC CPS Đồ Hoạ D07 i5 14600K / 16GB - 512GB / RTX 5060,https://cellphones.com.vn/may-tinh-pc-cps-do-hoa-d07.html,pc,Unknown,27990000,41190000,"Giảm 
32%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/may-tinh-pc-cps-do-hoa-d07-022.jpg,2026-07-14T22:22:20.865355
PC CPS X MSI Gaming Intel i7 Gen 14 Kèm màn hình,https://cellphones.com.vn/pc-cps-msi-gaming-intel-i7-gen-14.html,pc,MSI,36990000,51890000,"Giảm 
29%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/c/pc-cps-msi-gaming-intel-i7-gen-14-326-03.jpg,2026-07-14T22:22:20.934149
PC CPS X ASUS Gaming Intel i7 Gen 12 Kèm màn hình,https://cellphones.com.vn/pc-cps-asus-gaming-intel-i7-gen-12.html,pc,ASUS,39890000,56790000,"Giảm 
30%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_786_1.png,2026-07-14T22:22:21.011479
