name,url,category,brand,price,old_price,discount,image_url,scraped_at
Smart tivi LG UHD 4K 43 inch 2026 (43UA8055PSA),https://cellphones.com.vn/smart-tivi-lg-uhd-4k-43-inch-43ua8055psa.html,tivi,LG,8690000,10690000,Giảm 19%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/smart-tivi-lg-uhd-4k-43-inch-43ua8055psa.png,2026-07-14T22:25:21.880913
Smart tivi LG UHD 4K 55 inch 2026 (55UA8055PSA),https://cellphones.com.vn/smart-tivi-lg-uhd-4k-55-inch-55ua8055psa.html,tivi,LG,10900000,15590000,"Giảm 
30%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/smart-tivi-lg-uhd-4k-55-inch-55ua8055psa.png,2026-07-14T22:25:22.168678
Smart tivi LG UHD 4K 65 inch 2026 (65UA8055PSA),https://cellphones.com.vn/smart-tivi-lg-uhd-4k-65-inch-65ua8055psa.html,tivi,LG,13190000,19490000,"Giảm 
32%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/smart-tivi-lg-uhd-4k-65-inch-65ua8055psa.png,2026-07-14T22:25:22.274223
Google Tivi Xiaomi S Mini Led 4K 65 inch 2026,https://cellphones.com.vn/google-tivi-xiaomi-s-mini-led-4k-65-inch-2026.html,tivi,Xiaomi,15990000,18990000,"Giảm 
16%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/o/google-tivi-xiaomi-s-mini-led-4k-65-inch-2026.png,2026-07-14T22:25:22.620880
Smart tivi LG UHD 4K 50 inch 2026 (50UA8055PSA),https://cellphones.com.vn/smart-tivi-lg-uhd-4k-50-inch-50ua8055psa.html,tivi,LG,9990000,13590000,"Giảm 
26%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/smart-tivi-lg-uhd-4k-50-inch-50ua8055psa.png,2026-07-14T22:25:22.907648
Google Tivi Xiaomi S Mini Led 4K 75 inch 2026,https://cellphones.com.vn/google-tivi-xiaomi-s-mini-led-4k-75-inch-2026.html,tivi,Xiaomi,21990000,24990000,"Giảm 
12%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/o/google-tivi-xiaomi-s-mini-led-4k-75-inch-2026.png,2026-07-14T22:25:23.016271
Google Tivi Xiaomi S Mini Led 4K 55 inch 2026,https://cellphones.com.vn/google-tivi-xiaomi-s-mini-led-4k-55-inch-2026.html,tivi,Xiaomi,11990000,14990000,"Giảm 
20%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/o/google-tivi-xiaomi-s-mini-led-4k-55-inch-2026.png,2026-07-14T22:25:23.108877
Smart Tivi LG UHD 4K 65 inch 2025 (65UA8450PSA),https://cellphones.com.vn/smart-tivi-lg-uhd-65ua8450-4k-65-inch-2025.html,tivi,LG,12990000,19900000,"Giảm 
35%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/smart-tivi-lg-uhd-65ua8450-4k-65-inch-2025_1_.png,2026-07-14T22:25:23.290093
Smart Google Tivi Coocaa 4K 70 inch 70C9,https://cellphones.com.vn/google-tivi-coocaa-4k-70-inch-70c9.html,tivi,Coocaa,8990000,25000000,"Giảm 
64%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/v/fvfv.png,2026-07-14T22:25:23.400707
Xiaomi Max 2025 100 N36Z,https://cellphones.com.vn/google-tivi-xiaomi-max-100-inch-n36z-2025.html,tivi,Xiaomi,49090000,54990000,"Giảm 
11%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_405.png,2026-07-14T22:25:23.484262
